sampleName	read1Path	read2Path
pre_R27_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_R27_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_R27_UCL_R2.fastq.gz
pre_R13_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_R13_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_R13_UCL_R2.fastq.gz
pre_R29_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_R29_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_R29_UCL_R2.fastq.gz
pos_R02_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_R02_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_R02_UCL_R2.fastq.gz
pos_R13_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_R13_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_R13_UCL_R2.fastq.gz
pos_R11_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_R11_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_R11_UCL_R2.fastq.gz
pos_P56_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_P56_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_P56_UCL_R2.fastq.gz
pre_R02_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_R02_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_R02_UCL_R2.fastq.gz
pre_R11_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_R11_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_R11_UCL_R2.fastq.gz
pre_P56_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_P56_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pre_P56_UCL_R2.fastq.gz
pos_R29_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_R29_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_R29_UCL_R2.fastq.gz
pos_R27_UCL	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_R27_UCL_R1.fastq.gz	s3://crmy-gb-main/taadisco/Derouane-et-al/renamed-fastqs/TNBC/pos_R27_UCL_R2.fastq.gz
